Distrito;Sitio;IDEM;X crtm;Y crtm;Nombre común;Especie;Clasificación;DAP;H;Estado Fitosanitario;Inclinación del fuste;Cercanía al tendido eléctrico (m);Afectación de Aceras;Prodecencia;Riesgo General
La Asunción;Aceras;8506;481592.6997;1103574.155;Jacaranda;Jacaranda mimosifolia;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8507;481585.1494;1103652.574;Jacaranda;Jacaranda mimosifolia;Árbol;9.999;2.5;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;8760;481453.6893;1103537.145;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8761;481453.9304;1103541.243;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8762;481442.4011;1103637.667;Laurel de la india;Ficus benjamina;Árbol;9.999;2.7;A;A;0.5;A;Exótico;ALTO
La Asunción;Aceras;8763;481444.0754;1103642.292;Laurel de la india;Ficus benjamina;Árbol;9.999;2.7;A;A;0.5;A;Exótico;ALTO
La Asunción;Aceras;8765;481584.7245;1103558.557;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8852;481774.8733;1103519.823;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8877;481779.9107;1103521.322;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8878;481786.38;1103522.793;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8879;481790.8842;1103523.513;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8880;481796.3425;1103524.845;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8881;481812.8479;1103526.645;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8882;481817.2416;1103527.802;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;8883;481844.518;1103532.544;Laurel de la india;Ficus benjamina;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;9032;481234.4436;1103637.263;Llama del bosque;Spathodea campanulata;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;9071;481117.7045;1104101.057;Lorito;Cojoba arborea;Árbol;9.999;1.999;NR;NR;NR;NR;Nativo;ALTO
La Asunción;Aceras;9133;481328.0643;1103834.852;Malinche;Delonix regia;Árbol;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;9661;481228.3767;1103989.186;Guano de costa;Thrinax sp.;Palma;9.999;2.1;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;9675;481282.7688;1103423.08;Palma de tallo rojo;Cyrtostachys renda;Palma;9.999;2;A;A;3;A;Exótico;ALTO
La Asunción;Aceras;9710;481184.6568;1104246.789;Palma cola de pez;Caryota urens;Palma;9.999;2.5;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10048;481767.444;1103492.869;Palma phenix enana;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10049;481785.0064;1103494.816;Palma phenix enana;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10186;481315.6748;1103833.199;Palma triangular;Dypsis decaryi;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10331;480755.2263;1103533.421;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10455;481279.9248;1103448.417;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;2.5;A;A;2.5;A;Exótico;ALTO
La Asunción;Aceras;10468;481291.9434;1103735.775;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10550;481163.6966;1103996.961;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10551;481160.8471;1103998.843;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10553;481229.5795;1103982.992;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;2.8;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10554;481229.5756;1103975.582;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;2.8;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10555;481388.1626;1103657.312;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;2.1;A;A;2;A;Exótico;ALTO
La Asunción;Aceras;10558;481382.924;1103703.766;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10658;481150.3495;1103629.897;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10682;481227.0803;1104026.237;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10686;481213.0869;1104102.888;Palmera phenix;Phoenix roebelenii;Palma;9.999;2;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10687;481211.9923;1104106.317;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10688;481202.05;1104172.459;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10690;481200.5152;1104172.681;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10691;481200.0778;1104174.893;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10704;481169.8617;1103835.265;Palmera phenix;Phoenix roebelenii;Palma;9.999;2;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10705;481170.0808;1103835.044;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10706;481172.272;1103832.167;Palmera phenix;Phoenix roebelenii;Palma;9.999;2;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10708;481395.3318;1103741.031;Palmera phenix;Phoenix roebelenii;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10709;481383.2836;1103763.599;Palmera phenix;Phoenix roebelenii;Palma;9.999;2.2;A;A;2.5;A;Exótico;ALTO
La Asunción;Aceras;10717;480721.1446;1103662.638;Palmera real cubana;Roystonea regia;Palma;9.999;2;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10718;480730.572;1103660.31;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10719;480911.4596;1103640.307;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10720;480911.7887;1103640.528;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10721;480912.3367;1103640.307;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10722;480914.6391;1103640.416;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10723;480915.0777;1103640.416;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10724;480914.6392;1103640.637;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10725;480917.38;1103640.415;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10726;480932.1804;1103639.633;Palmera real cubana;Roystonea regia;Palma;9.999;1.999;NR;NR;NR;NR;Exótico;ALTO
La Asunción;Aceras;10744;481250.4868;1103919.609;Palmera real cubana;Roystonea regia;Palma;9.999;2.3;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10745;481248.9537;1103923.038;Palmera real cubana;Roystonea regia;Palma;9.999;2.6;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10758;481211.7729;1104105.985;Palmera real cubana;Roystonea regia;Palma;9.999;2.3;A;A;NA;A;Exótico;ALTO
La Asunción;Aceras;10759;481197.888;1104180.424;Palmera real cubana;Roystonea regia;Palma;9.999;2;A;A;NA;A;Exótico;ALTO
